Year-DOY,Year,DOY,Date,E_py,ETc_py,RAW_py,T_py,DP_py,Irrig_py,E,ETc,RAW,T,DP,Irrig
2017-261,2017,261,9/18/2017,0.044,4.632,135.606,4.588,0,51,0.27,4.88,156.96,4.6,0,0
2017-262,2017,262,9/19/2017,1.052,8.228,106.261,6.262,0,0,0.73,7.93,156.96,7.2,0,0
2017-263,2017,263,9/20/2017,0.408,7.008,116.218,5.862,0,0,0.27,6.9,156.96,6.6,0,51
2017-264,2017,264,9/21/2017,0.288,7.181,114.8,5.541,0,0,0.72,7.64,156.96,6.9,0,0
2017-265,2017,265,9/22/2017,0.15,6.172,123.033,4.9,0,0,0.63,6.68,156.96,6,0,0
2017-266,2017,266,9/23/2017,0.794,7.393,113.074,6.599,0,0,0.69,7.32,156.96,6.6,0,0
2017-267,2017,267,9/24/2017,0.261,4.284,138.44,4.023,0,0,0.14,4.17,156.96,4,0,0
2017-268,2017,268,9/25/2017,0.102,2.395,153.854,2.294,0,0,0.1,2.41,156.96,2.3,0,0
2017-269,2017,269,9/26/2017,0.051,1.204,163.2,1.153,0,0,0.05,1.2,156.96,1.2,0,0
2017-270,2017,270,9/27/2017,0.038,0.897,163.2,0.859,0,0,0.04,0.9,156.96,0.9,0,0
2017-271,2017,271,9/28/2017,0.189,3.341,146.134,3.153,0,0,0.15,3.32,156.96,3.2,0,0
2017-272,2017,272,9/29/2017,0.153,3.599,144.029,3.446,0,0,0.15,3.61,156.96,3.5,0,0
2017-273,2017,273,9/30/2017,0.127,2.997,148.943,2.87,0,0,0.13,3.01,156.96,2.9,0,0
2017-274,2017,274,10/1/2017,0.602,5.766,126.347,5.164,0,0,0.53,5.72,156.96,5.2,0,0
2017-275,2017,275,10/2/2017,0.779,6.52,120.198,5.74,0,0,0.69,6.45,156.96,5.8,0,0
2017-276,2017,276,10/3/2017,0.166,3.613,143.919,3.446,0,0,0.14,3.59,156.96,3.5,0,0
2017-277,2017,277,10/4/2017,0.029,1.182,163.2,1.153,0,0,0.05,1.2,156.96,1.2,0,0
2017-278,2017,278,10/5/2017,0.102,2.395,153.854,2.294,0,0,0.1,2.41,156.96,2.3,0,0
2017-279,2017,279,10/6/2017,0.516,5.398,129.356,4.882,0,0,0.44,5.33,156.96,4.9,0,0
2017-280,2017,280,10/7/2017,0.321,4.626,135.648,4.305,0,0,0.29,4.61,156.96,4.3,0,0
2017-281,2017,281,10/8/2017,0.608,5.772,126.303,5.164,0,0,0.55,5.73,156.96,5.2,0,0
2017-282,2017,282,10/9/2017,0.504,4.809,134.159,4.305,0,0,0.44,4.76,156.96,4.3,0,0
2017-283,2017,283,10/10/2017,0.386,4.115,139.82,3.729,0,0,0.34,4.08,156.96,3.7,0,0
2017-284,2017,284,10/11/2017,0.128,2.999,148.932,2.87,0,0,0.11,2.99,156.96,2.9,0,0
2017-285,2017,285,10/12/2017,0.435,5.599,127.712,5.164,0,0,0.39,5.57,156.96,5.2,0,0
2017-286,2017,286,10/13/2017,0.185,4.773,134.45,4.588,0,0,0.16,4.77,156.96,4.6,0,0
2017-287,2017,287,10/14/2017,0.302,5.273,130.37,4.972,0,0,0.49,5.48,156.96,5,0,0
2017-288,2017,288,10/15/2017,0.418,4.141,139.612,3.723,0,0,0.32,4.05,156.96,3.7,0,0
2017-289,2017,289,10/16/2017,0.219,3.019,148.763,2.8,0,0,0.18,2.99,156.96,2.8,0,0
2017-290,2017,290,10/17/2017,0.368,4.031,140.509,3.663,0,0,0.29,3.96,156.96,3.7,0,0
2017-291,2017,291,10/18/2017,0.451,5.121,131.615,4.67,0,0,0.35,5.04,156.96,4.7,0,0
2017-292,2017,292,10/19/2017,0.231,3.793,142.453,3.561,0,0,0.18,3.75,156.96,3.6,0,0
2017-293,2017,293,10/20/2017,0.155,2.911,149.65,2.756,0,51,0.12,2.88,156.96,2.8,0,0
2017-294,2017,294,10/21/2017,0.093,2.107,156.21,2.014,0,0,1.15,3.17,156.96,2,0,0
2017-295,2017,295,10/22/2017,1.28,3.375,145.863,2.094,0,0,1.26,3.36,156.96,2.1,0,0
2017-296,2017,296,10/23/2017,1.778,4.116,139.811,2.338,0,0,1.75,4.09,156.96,2.3,0,0
2017-297,2017,297,10/24/2017,2.007,4.206,139.081,2.199,0,0,1.98,4.18,156.96,2.2,0,0
2017-298,2017,298,10/25/2017,2.469,4.848,133.841,2.379,0,0,2.24,4.63,156.96,2.4,0,0
